"","species","cluster","Endemism","Occ.Ri","Occ.Di","Occ.Ai","Occ.Fi","Occ.IndVal","Occ.DilVal","Ri","Di","Ai","Fi","IndVal","DilVal"
"Ctenocidaris (Eurocidaris) nutrix","Ctenocidaris (Eurocidaris) nutrix","2",TRUE,33,33,0.407407407407407,1,0.407407407407407,0,261467.127774265,261467.127774265,0.402576912401083,1,0.402576912401083,0
"Holascus fibulatus","Holascus fibulatus","4",TRUE,4,4,0.307692307692308,1,0.307692307692308,0,38428.1888687814,38428.1888687814,0.326478671813539,1,0.326478671813539,0
"Gorgonocephalus chilensis","Gorgonocephalus chilensis","2",TRUE,26,26,0.320987654320988,1,0.320987654320988,0,208358.140944613,208358.140944613,0.320805822778338,1,0.320805822778338,0
"Bathypathes patula","Bathypathes patula","3",FALSE,17,20,0.333333333333333,0.85,0.283333333333333,0.05,201549.380434503,232896.951014519,0.339639036145592,0.865401541568217,0.293924145457139,0.0457148906884531
"Aerothyris kerguelensis","Aerothyris kerguelensis","2",TRUE,21,21,0.259259259259259,1,0.259259259259259,0,172778.096688261,172778.096688261,0.266023776248259,1,0.266023776248259,0
"Culeolus suhmi","Culeolus suhmi","3",FALSE,13,14,0.254901960784314,0.928571428571429,0.236694677871148,0.0182072829131653,151954.401209699,162487.860661054,0.25606452499969,0.935173868321602,0.239464852383893,0.0165996726157964
"Proagnesia depressa","Proagnesia depressa","3",FALSE,12,13,0.235294117647059,0.923076923076923,0.217194570135747,0.0180995475113122,142945.066438268,155013.206747446,0.240882529542869,0.922147663657851,0.22212926183395,0.0187532677089192
"Abyssopathes lyra","Abyssopathes lyra","3",TRUE,11,11,0.215686274509804,1,0.215686274509804,0,130068.932449071,130068.932449071,0.219184433880434,1,0.219184433880434,0
"Antarctotetilla leptoderma","Antarctotetilla leptoderma","2",FALSE,18,19,0.222222222222222,0.947368421052632,0.210526315789474,0.0116959064327485,142977.980063368,150870.136546253,0.220140995333639,0.947689074434784,0.208625216112888,0.0115157792207506
"Promachocrinus kerguelensis","Promachocrinus kerguelensis","2",TRUE,17,17,0.209876543209877,1,0.209876543209877,0,134430.056215359,134430.056215359,0.206979888545706,1,0.206979888545706,0
