"","species","cluster","Endemism","Occ.Ri","Occ.Di","Occ.Ai","Occ.Fi","Occ.IndVal","Occ.DilVal","Ri","Di","Ai","Fi","IndVal","DilVal"
"Williamsium parviflorum","Williamsium parviflorum","1.3",TRUE,2,2,0.1,1,0.1,0,20609.1251981838,20609.1251981838,0.0986579750801937,1,0.0986579750801937,0
"Clavularia ramosa","Clavularia ramosa","1.12",FALSE,2,3,0.153846153846154,0.666666666666667,0.102564102564103,0.0512820512820513,19755.4399346772,30176.8336842787,0.150443190742748,0.654655824443544,0.0984885110676113,0.0519546796751371
"Favites rotundata","Favites rotundata","1.1",FALSE,10,11,0.10989010989011,0.909090909090909,0.0999000999000999,0.00999000999000999,117176.330382394,129462.807708968,0.108795228273467,0.90509647099425,0.0984701771713289,0.0103250511021382
"Waltherarndtia caliculatum","Waltherarndtia caliculatum","1.3",TRUE,2,2,0.1,1,0.1,0,20493.8725654521,20493.8725654521,0.0981062490239624,1,0.0981062490239624,0
"Higginsia bidentifera","Higginsia bidentifera","1.3",TRUE,2,2,0.1,1,0.1,0,20493.8725654521,20493.8725654521,0.0981062490239624,1,0.0981062490239624,0
"Cyathotrochus pileus","Cyathotrochus pileus","1.2",FALSE,4,7,0.166666666666667,0.571428571428571,0.0952380952380952,0.0714285714285714,46745.2036403635,80981.8836187166,0.169734151333965,0.577230382297007,0.0979757090633624,0.0717584422706022
"Caryophyllia transversalis","Caryophyllia transversalis","1.2",FALSE,4,7,0.166666666666667,0.571428571428571,0.0952380952380952,0.0714285714285714,47249.7026525515,82856.5896871668,0.171566012252602,0.57025883916955,0.0978370349881178,0.0737289772644845
"Polycarpa rigida","Polycarpa rigida","1.5",TRUE,3,3,0.103448275862069,1,0.103448275862069,0,27808.0471519784,27808.0471519784,0.0978275995068361,1,0.0978275995068361,0
"Magellania joubini","Magellania joubini","2.3",TRUE,1,1,0.0833333333333333,1,0.0833333333333333,0,8985.41208532793,8985.41208532793,0.0976169028656964,1,0.0976169028656964,0
"Culeolus herdmani","Culeolus herdmani","1.2",FALSE,3,4,0.125,0.75,0.09375,0.03125,35613.9673653581,47302.4644709612,0.129316080702126,0.752898770997891,0.0973619182308947,0.0319541624712313
"Paraconotrochus zeidleri","Paraconotrochus zeidleri","1.2",FALSE,4,7,0.166666666666667,0.571428571428571,0.0952380952380952,0.0714285714285714,45949.5698406308,79000.7113530255,0.16684516557172,0.581634887251823,0.097042969065819,0.0698021965059008
"Deltocyathus suluensis","Deltocyathus suluensis","1.2",FALSE,4,7,0.166666666666667,0.571428571428571,0.0952380952380952,0.0714285714285714,46787.3252444055,81940.4138294838,0.169887096965989,0.570992054565027,0.0970041825406982,0.0728829144252911
"Caulastraea tumida","Caulastraea tumida","1.1",FALSE,10,11,0.10989010989011,0.909090909090909,0.0999000999000999,0.00999000999000999,113697.303292183,124118.697041785,0.105565040528094,0.916036874395377,0.0967014697707762,0.00886357075731743
"Hyalonema (Hyalonema) proximum","Hyalonema (Hyalonema) proximum","1.2",FALSE,4,7,0.166666666666667,0.571428571428571,0.0952380952380952,0.0714285714285714,46818.8478585679,82331.6485237916,0.170001557140424,0.568661610668934,0.0966733592997007,0.0733281978407238
"Sphaerasclera flammicerebra","Sphaerasclera flammicerebra","1.2",FALSE,3,4,0.125,0.75,0.09375,0.03125,35217.976397197,46838.1109473639,0.127878217869527,0.751908556619086,0.0961527262212972,0.0317254916482301
"Parametra compressa","Parametra compressa","1.2",FALSE,3,4,0.125,0.75,0.09375,0.03125,35249.4990113593,47176.2642577875,0.127992678043962,0.747187162144585,0.0956344858829536,0.0323581921610085
"Semperella schultzei","Semperella schultzei","1.2",FALSE,3,4,0.125,0.75,0.09375,0.03125,35130.350752965,46883.707294724,0.127560044812175,0.74930829450252,0.095581799624876,0.0319782451872992
"Balanophyllia (Balanophyllia) cornu","Balanophyllia (Balanophyllia) cornu","1.2",FALSE,3,4,0.125,0.75,0.09375,0.03125,35217.976397197,47144.7416436252,0.127878217869527,0.747018122687264,0.0955273462454872,0.0323508716240401
"Chaperiopsis multifida","Chaperiopsis multifida","1.3",FALSE,3,5,0.15,0.6,0.09,0.06,30918.4233506089,47984.0915928126,0.148009632194968,0.644347372728841,0.09536961764339,0.0526400145515785
"Crotalometra rustica","Crotalometra rustica","1.2",FALSE,3,4,0.125,0.75,0.09375,0.03125,35065.4913168092,46818.8478585682,0.12732453698475,0.748961004395839,0.0953611131043332,0.0319634238804164
"Goniocorella dumosa","Goniocorella dumosa","1.3",FALSE,3,5,0.15,0.6,0.09,0.06,31481.9098963661,50964.0339911772,0.150707099508828,0.617727982479099,0.0930959925248652,0.0576111069839629
"Montipora spumosa","Montipora spumosa","1.1",FALSE,11,14,0.120879120879121,0.785714285714286,0.0949764521193093,0.0259026687598116,126949.115031033,162018.655947779,0.117869009072425,0.78354627921337,0.0923558234932658,0.0255131855791595
"Comanthus parvicirrus","Comanthus parvicirrus","1.1",FALSE,15,27,0.164835164835165,0.555555555555556,0.0915750915750916,0.0732600732600732,175738.975214376,315709.233575554,0.163169147408852,0.556648195632577,0.0908278114880434,0.0723413359208086
"Porites vaughani","Porites vaughani","1.1",FALSE,9,10,0.0989010989010989,0.9,0.089010989010989,0.00989010989010989,107590.728347637,119568.194156716,0.0998952417479741,0.899827325372326,0.0898884681995014,0.0100067735484727
"Junceella fragilis","Junceella fragilis","1.1",TRUE,8,8,0.0879120879120879,1,0.0879120879120879,0,94431.0150792793,94431.0150792793,0.0876767842798826,1,0.0876767842798826,0
"Crispatotrochus inornatus","Crispatotrochus inornatus","1.2",TRUE,2,2,0.0833333333333333,1,0.0833333333333333,0,23904.2310555071,23904.2310555071,0.0867974477705356,1,0.0867974477705356,0
"Spirobranchus tetraceros","Spirobranchus tetraceros","1.1",FALSE,10,13,0.10989010989011,0.769230769230769,0.084530853761623,0.0253592561284869,118048.379936733,149171.758315862,0.109604903999106,0.791358775075726,0.0867368025710252,0.022868101428081
"Paracyathus fulvus","Paracyathus fulvus","1.2",TRUE,2,2,0.0833333333333333,1,0.0833333333333333,0,23687.2021189295,23687.2021189295,0.0860094049448305,1,0.0860094049448305,0
"Scapophyllia cylindrica","Scapophyllia cylindrica","1.1",TRUE,8,8,0.0879120879120879,1,0.0879120879120879,0,92518.702019981,92518.702019981,0.0859012504742263,1,0.0859012504742263,0
"Calyx kerguelensis","Calyx kerguelensis","2.1",FALSE,3,4,0.111111111111111,0.75,0.0833333333333333,0.0277777777777778,24330.0306599804,31715.3493091602,0.111945928023072,0.767137401603622,0.0858779083437255,0.0260680196793464
"Hyalonema (Cyliconema) keiense","Hyalonema (Cyliconema) keiense","1.2",TRUE,2,2,0.0833333333333333,1,0.0833333333333333,0,23441.8536473621,23441.8536473621,0.0851185324839259,1,0.0851185324839259,0
"Dendrophyllia boschmai","Dendrophyllia boschmai","1.2",TRUE,2,2,0.0833333333333333,1,0.0833333333333333,0,23376.9942112063,23376.9942112063,0.0848830246565003,1,0.0848830246565003,0
"Chalaronema sibogae","Chalaronema sibogae","1.2",TRUE,2,2,0.0833333333333333,1,0.0833333333333333,0,23376.9942112063,23376.9942112063,0.0848830246565003,1,0.0848830246565003,0
"Hyalonema proximum","Hyalonema proximum","1.2",FALSE,4,8,0.166666666666667,0.5,0.0833333333333333,0.0833333333333333,46818.8478585679,94640.0151394591,0.170001557140424,0.494704568565177,0.084100546980562,0.0859010101598625
"Polymastia invaginata","Polymastia invaginata","2.1",FALSE,3,4,0.111111111111111,0.75,0.0833333333333333,0.0277777777777778,23840.4947315763,31225.8133807561,0.109693503660288,0.763486748635627,0.0837495364560432,0.0259439672042444
"Umbellula pellucida","Umbellula pellucida","1.12",FALSE,3,8,0.230769230769231,0.375,0.0865384615384615,0.144230769230769,30441.6585438627,87347.7569135783,0.231821729001389,0.348511050764379,0.0807924343642891,0.1510292946371
"Comanthus gisleni","Comanthus gisleni","1.1",FALSE,9,11,0.0989010989010989,0.818181818181818,0.0809190809190809,0.017982017982018,104368.855423226,127595.178761876,0.0969038150738716,0.817968644552033,0.0792642822678957,0.0176395328059759
"Polycarpa flava","Polycarpa flava","1.5",FALSE,4,7,0.137931034482759,0.571428571428571,0.0788177339901478,0.0591133004926108,39984.8828105084,71005.9316581624,0.140665221133153,0.563120317933494,0.0792114440466864,0.0614537770864667
"Sarcophyton glaucum","Sarcophyton glaucum","1.1",FALSE,10,14,0.10989010989011,0.714285714285714,0.0784929356357928,0.0313971742543171,118528.503696305,165252.576348985,0.11005068664012,0.717256615993649,0.0789345830872698,0.03111610355285
"Lobophyllia rowleyensis","Lobophyllia rowleyensis","1.1",FALSE,8,9,0.0879120879120879,0.888888888888889,0.0781440781440781,0.00976800976800977,94501.6037997407,105249.519281705,0.0877423241029089,0.897881571760941,0.0787822158754777,0.00896010822743115
"Echinopora horrida","Echinopora horrida","1.1",FALSE,8,9,0.0879120879120879,0.888888888888889,0.0781440781440781,0.00976800976800977,95066.3636969541,106539.330493845,0.0882666892348132,0.89231238131768,0.0787614596621438,0.00950522957266945
"Scuticella plagiostoma","Scuticella plagiostoma","1.5",FALSE,3,4,0.103448275862069,0.75,0.0775862068965517,0.0258620689655172,30429.1550206869,41378.4449943961,0.107048552328257,0.735386625205657,0.0787220736298277,0.0283264786984288
"Neovermilia sphaeropomata","Neovermilia sphaeropomata","1.12",TRUE,1,1,0.0769230769230769,1,0.0769230769230769,0,10187.7314485825,10187.7314485825,0.0775824193550177,1,0.0775824193550177,0
"Laminatubus paulbrooksi","Laminatubus paulbrooksi","1.12",TRUE,1,1,0.0769230769230769,1,0.0769230769230769,0,10187.7314485825,10187.7314485825,0.0775824193550177,1,0.0775824193550177,0
"Briareum stechei","Briareum stechei","1.1",TRUE,7,7,0.0769230769230769,1,0.0769230769230769,0,83102.9488062684,83102.9488062684,0.0771589642385208,1,0.0771589642385208,0
"Actinoscyphia plebeia","Actinoscyphia plebeia","1.12",TRUE,1,1,0.0769230769230769,1,0.0769230769230769,0,10066.1956466976,10066.1956466976,0.0766568902913523,1,0.0766568902913523,0
"Actinernus michaelsarsi","Actinernus michaelsarsi","1.12",TRUE,1,1,0.0769230769230769,1,0.0769230769230769,0,10066.1956466974,10066.1956466974,0.0766568902913511,1,0.0766568902913511,0
"Monactis vestita","Monactis vestita","1.12",TRUE,1,1,0.0769230769230769,1,0.0769230769230769,0,10066.1956466974,10066.1956466974,0.0766568902913506,1,0.0766568902913506,0
"Porites murrayensis","Porites murrayensis","1.1",TRUE,7,7,0.0769230769230769,1,0.0769230769230769,0,82075.1207489103,82075.1207489103,0.0762046521538085,1,0.0762046521538085,0
"Cornucopina grandis","Cornucopina grandis","1.12",FALSE,2,4,0.153846153846154,0.5,0.0769230769230769,0.0769230769230769,19755.4399346772,39109.782770054,0.150443190742748,0.505127835938882,0.075993043371625,0.0744501473711234
"Flabellum australe","Flabellum australe","1.12",TRUE,1,1,0.0769230769230769,1,0.0769230769230769,0,9941.56562438785,9941.56562438785,0.0757077978752577,1,0.0757077978752577,0
"Montipora incrassata","Montipora incrassata","1.1",TRUE,7,7,0.0769230769230769,1,0.0769230769230769,0,81531.1744990885,81531.1744990885,0.0756996119616065,1,0.0756996119616065,0
"Latrunculia (Latrunculia) apicalis","Latrunculia (Latrunculia) apicalis","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16432.7480901814,16432.7480901814,0.0756094088262115,1,0.0756094088262115,0
"Latrunculia apicalis","Latrunculia apicalis","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16432.7480901814,16432.7480901814,0.0756094088262115,1,0.0756094088262115,0
"Tentorium semisuberites","Tentorium semisuberites","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16273.8488941744,16273.8488941744,0.0748782910480335,1,0.0748782910480335,0
"Ctenocella pectinata","Ctenocella pectinata","1.1",FALSE,9,12,0.0989010989010989,0.75,0.0741758241758242,0.0247252747252747,105183.436806086,138558.264108553,0.0976601330709136,0.759127847644513,0.0741365266187994,0.0235236064521142
"Sphaerotylus capitatus","Sphaerotylus capitatus","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16112.3635316124,16112.3635316124,0.0741352739500781,1,0.0741352739500781,0
"Hymedesmia (Hymedesmia) leptochela","Hymedesmia (Hymedesmia) leptochela","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16112.3635316123,16112.3635316123,0.074135273950078,1,0.074135273950078,0
"Latrunculia (Latrunculia) bocagei","Latrunculia (Latrunculia) bocagei","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16112.3635316123,16112.3635316123,0.0741352739500778,1,0.0741352739500778,0
